bibtex_key,company_name,hq_city
Varus-Tecnologia,Varus Tecnologia,Puebla
Magor-Corp,Magor Corp,Ottawa
Reach-U,Reach-U,Tartu
Silver_Bullets,Silver Bullets,London
Yaana,Yaana,Milpitas
Wipro_Technologies,Wipro Technologies,Bangalore
WiFense,WiFense,Madrid
Vocapia,Vocapia,Orsay
Vlatacom,Vlatacom,Belgrade
Vervis_COMINT_Services,Vervis COMINT Services,Rosenheim
Vedicis,Vedicis,Paris
Umanick,Umanick,Valencia
Tovek,Tovek,Prague
Systran,Systran,Seoul
Sysnav,Sysnav,Vernon
Sympalog,Sympalog,Erlangen
Syans,Syans,Angouleme
Stordis,Stordis,Stuttgart
STAR_Inteligencia_y_Tecnologia,STAR Inteligencia y Tecnologia,Bogota
Spectradome,Spectradome,Morbio Inferiore
Sodat,Sodat,Brno
SnapTrends,SnapTrends,Austin
Sio_SpA,Sio SpA,Cant\`u
Sinovatio,Sinovatio,Nanjing
Sinequa,Sinequa,Paris
Sedam_IT,Sedam IT,Zagreb
Securitas,Securitas,Stockholm
Savvius,Savvius,Walnut Creek
Sail_Labs_Technology,Sail Labs Technology,Vienna
REVULN,REVULN,Valletta
Rayzone_Group,Rayzone Group,Tel Aviv
Polli_Intelligence_and_Public_Safety,Polli Intelligence and Public Safety,Vienna
Picomass,Picomass,Scarriff
Parinto,Parinto,Pretoria
Pandacom,Pandacom,Gauteng
Paessler,Paessler,Nuremberg
Optenet,Optenet,San Sebastian
NORSI_TRANS,NORSI TRANS,Moscow
Nexa_Technologies,Nexa Technologies,Paris
Neurotechnology,Neurotechnology,Vilnius
Netclean,Netclean,"G\""oteborg"
Net_X_Solutions,Net X Solutions,Dorset
Myertal_Tactical_Security,Myertal Tactical Security,Johannesburg
Mobile_Arts,Mobile Arts,Stockholm
MER_Group,MER Group,Holon
MCM_Solutions,MCM Solutions,Erskine
MASS,MASS,St Neots
Mandiant,Mandiant,Alexandria
Magnum_Telecom,Magnum Telecom,Saint-\'Etienne-de-Saint-Geoirs
Magen,Magen,Tel Aviv
Lightning_Bird_Logistics,Lightning Bird Logistics,Cape Town
LEC_sro,LEC sro,Prague
Lateo_Surveillance,Lateo Surveillance,Durham
Laser_Microphone,Laser Microphone,Morbio Inferiore
Kirintec,Kirintec,Ross-on-Wye
iSolv,iSolv,Gauteng
Iskratel,Iskratel,Kranj
ISC_Africa,ISC Africa,Johannesburg
Incognito_Software_Systems,Incognito Software Systems,Vancouver
IBH_Impex,IBH Impex,Dessau-Rosslau
Herta_Security,Herta Security,Barcelona
Hear_Know,Hear & Know,Montmorency
Groupe_SSI,Groupe SSI,Versailles
GOS_Networks,GOS Networks,Mahon
Global_Forensics,Global Forensics,Coventry
Gedion,Gedion,Vilnius
FireEye,FireEye,Milpitas
Federal_Signal_Technologies,Federal Signal Technologies,Irvine
FacePhi,FacePhi,Alicante
Facebanx,Facebanx,London
Endoacustica,Endoacustica,Santeramo In Colle
Empirix,Empirix,Billerica
DN_Systems,DN Systems,Hildesheim
Digital_Forensics,Digital Forensics,Budapest
Desoma,Desoma,Rosenheim
Decision_Group,Decision Group,Taipei
David_Horn_Communications,David Horn Communications,Luton
Cybercom,Cybercom,Stockholm
Cyberbit,Cyberbit,Tel Aviv
Cyanre,Cyanre,Centurion
CommProve,CommProve,Fairview
Com-Sur,Com-Sur,Mumbai
Cognitec_Systems,Cognitec Systems,Dresden
Clues,Clues,Colchester
Click_DECIDE,Click&DECIDE,St G\'ely du Fesc
Clearswift,Clearswift,Reading
Circles,Circles,Limassol
CarroGWP,CarroGWP,London
Belgian_Advanced_Technology_Systems,Belgian Advanced Technology Systems,Liege
Behaviosec,Behaviosec,Stockholm
Avanoc,Avanoc,Frankfurt
Aurora,Aurora,Higham Ferrers
Arxsys,Arxsys,Le Kremlin-Bic\^etre
Araknos,Araknos,Bologna
Applicata,Applicata,Sofia
Ansec_IA,Ansec IA,Antrim
Allwan,Allwan,St Lambert la Potherie
Allevate,Allevate,Hampton
Albedo_Telecom,Albedo Telecom,Barcelona
Aitia,Aitia,Budapest
Afrint_Solutions,Afrint Solutions,Newtown
ABM,ABM,Lichfield
4G_Technology,4G Technology,Nice
one_IT_GmbH,@one IT GmbH,Friedberg/Hessen
Garland_Tehchnology,Garland Technology,Buffalo
Panasonic,Panasonic,Osaka
Exelis,Exelis,Rochester
NEC,NEC,Tokyo
CRU,CRU,Vancouver
Kelvin_Hughes,Kelvin Hughes,Enfield
Wynyard_Group,Wynyard Group,London
Secure_Information_Assurance,Secure Information Assurance,Lancaster
FMS_Group,FMS Group,Berkshire
Basis_Technology,Basis Technology,Cambridge MA
Nuix,Nuix,Herndon
Spectra-Group,Spectra Group,Auckland
Speedog,Speedog,Northampton
Professional-Development-TSCM-Group,Professional Development TSCM Group,Ontario
Picsix,Picsix,Even Yehuda
Providence-itf,Providence itf,Herefordshire
Acustek,Acustek,Dublin
COFREXPORT,COFREXPORT,Levallois-Perret
GPX-SAS,GPX-SAS,Antony
MIB-Electronic,MIB Electronic,Laichingen
SET-1,SET-1,Moscow
SIM-Secure-Information-Management,SIM Secure Information Management,Neustadt an der Weinstra\sse
Commesh,Commesh,Vilnius
iOmniscient,iOmniscient,Sydney
IP-Tribe,IP Tribe,Singapore
KJTECH,KJTECH,Seoul
Lockheed-Martin,Lockheed Martin,Bethesda
Seven-Technologies-Group,Seven Technologies Group,London
Netline-Communications-Technologies-NCT,Netline Communications Technologies (NCT),Tel Aviv
Vitrociset,Vitrociset,Rome
Chenega-Corporation,Chenega Corporation,Anchorage
Chenega-Federal-Systems,Chenega Federal Systems,Anchorage
mils-electronic,mils electronic,Mils
Wolf-Intelligence,Wolf Intelligence,Hanau
Global-Security-Network,Global Security Network,Abu Dhabi
Knowlesys,Knowlesys,Hong Kong
Vehere,Vehere,Kolkata
Aglaya,Aglaya,New Delhi
Fiberblaze,Fiberblaze,S\oborg
Geofeedia,Geofeedia,Chicago
Cambridge-Intelligence,Cambridge Intelligence,Cambridge
Expert-Team,Expert Team,Singapore
Mobilaris,Mobilaris,Lule\aa
SciEngines,SciEngines,Kiel
Gigamon,Gigamon,Santa Clara
GOS-Systems,GOS Systems,London
3i-MIND,3i-MIND,"Z\""urich"
SIM,SIM,Lublin
Hexis-Cyber-Solutions,Hexis Cyber Solutions,Hanover
TeleStrategies,TeleStrategies,McLean
Almenta,Almenta,Philadelphia
Cepia-Technologies,Cepia Technologies,Brno
Dyplex-Communications,Dyplex-Communications,Toronto
Invesys,Invesys,Montbronn
Wirex,Wirex,Yahud Monoson
LJM-Tech-Support,LJM Tech Support,Ingre
Etelm,Etelm,Villejust
Rinicom_Ltd,Rinicom Ltd,Lancaster
Phantom_Technologies,Phantom Technologies,Petah Tikva
Laboratory_PPS,Laboratory PPS,St Petersburg
Newtec,Newtec,Sint-Niklaas
SIGNAL-T,SIGNAL-T,St Petersburg
SAS_Institute_Inc,SAS Institue Inc,Cary
secunet_Security_Networks_AG,secunet Security Networks AG,Essen
VERISIS,VERISIS,Ankara
mh_Service_GmbH,mh Service GmbH,Karlsruhe
Surete_Globale,Surete Globale,Angers
Passware,Passware,Mountain View
Ultra_Electronics_Advanced_Tactical_Systems,Ultra Electronics Advanced Tactical Systems,Austin
Oxygen_Forensics,Oxygen Forensics,Alexandria
Wintego,Wintego,Yoqneam
Spikenet_Technology,Spikenet Technology,Ramonville-Saint-Agne
Irisat,Irisat,Mexico City
Comlab,Comlab,Bern
Blighter_Surveillance_Systems,Blighter Surveillance Systems,Great Chesterford
GR-Sistemi,GR Sistemi,Arcore
FinFisher,FinFisher,Munich
Frontline,Frontline,Charlottesville
NSO-Group,NSO Group,Herzliya
Elbit,Elbit,Haifa
Siltec,Siltec,Warsaw
IZT,IZT,Erlangen
